apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Luiz Fernando ,Meia,fluminense,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danilo,Atacante,goiás,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorran,Lateral,vasco,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jomar,Zagueiro,vasco,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nei,Lateral,vasco,0,Contundido,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Girotto,Meia,palmeiras,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Sodré,Meia,coritiba,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André Paulino,Zagueiro,chapecoense,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edinho,Meia,grêmio,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
César,Goleiro,flamengo,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Afonso,Meia,chapecoense,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jubal,Zagueiro,avaí,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alef,Zagueiro,joinville,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Henrique,Atacante,figueirense,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Carvalho,Zagueiro,cruzeiro,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafinha,Meia,atlético-pr,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luan,Meia,figueirense,0,Contundido,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro,Lateral,atlético-pr,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Lazaroni,Lateral,figueirense,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jair,Meia,internacional,0,Nulo,4.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton Sales,Lateral,goiás,1,Provável,3.99,0.99,5.90,5.90,2,4,0,0,0,0,0,0,0,3,4,0,1,0,1,0,0,0
Allano,Atacante,cruzeiro,3,Provável,3.99,0.87,4.20,2.83,4,4,0,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0
Reinaldo,Lateral,são paulo,6,Dúvida,3.98,-0.05,2.70,1.78,5,18,0,0,0,1,0,0,0,2,11,0,0,1,4,0,0,0
André,Atacante,sport,1,Nulo,3.98,-1.02,-0.50,-0.50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Giva,Atacante,coritiba,1,Nulo,3.96,0.00,0.00,-0.30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heracles,Lateral,joinville,3,Nulo,3.92,0.00,0.00,1.80,3,10,0,0,0,1,0,0,0,6,4,0,1,0,0,0,0,0
Lincoln,Meia,grêmio,2,Nulo,3.91,0.00,0.00,0.40,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Everaldo,Atacante,figueirense,4,Nulo,3.89,0.00,0.00,0.97,5,5,0,0,3,1,0,1,0,1,4,0,0,0,0,0,0,0
Jean Deretti,Meia,figueirense,1,Nulo,3.88,0.00,0.00,-1.10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vitinho,Atacante,grêmio,2,Nulo,3.87,0.00,0.00,-0.15,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lucas Gomes,Atacante,fluminense,3,Dúvida,3.86,-0.28,0.50,-0.03,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
Nino Paraíba,Lateral,avaí,6,Provável,3.82,-1.78,-3.60,1.32,10,24,0,0,1,0,0,1,0,8,10,0,2,0,1,0,0,0
Tiago,Goleiro,grêmio,3,Provável,3.82,-0.04,1.00,3.13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
Rodrigo Mancha,Meia,sport,5,Provável,3.77,-0.34,0.20,0.56,3,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
Juliano,Meia,goiás,2,Nulo,3.76,0.00,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Léo Lisboa,Meia,figueirense,1,Nulo,3.72,0.00,0.00,-0.30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,Meia,figueirense,5,Contundido,3.66,0.00,0.00,1.58,4,11,0,0,0,2,0,2,0,9,5,0,2,0,0,0,0,0
Neto,Zagueiro,chapecoense,2,Nulo,3.62,-0.24,-1.00,-0.90,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Welinton Junior,Atacante,joinville,3,Nulo,3.62,0.00,0.00,1.30,1,2,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,0
Willian Farias,Meia,cruzeiro,2,Contundido,3.57,0.00,0.00,-0.05,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nenén,Meia,chapecoense,2,Nulo,3.54,0.00,0.00,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Cesar,Lateral,vasco,2,Provável,3.51,0.33,1.40,0.55,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Eduardo,Zagueiro,internacional,2,Nulo,3.49,0.00,0.00,2.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jonathan Cafu,Atacante,são paulo,1,Dúvida,3.41,0.00,0.00,0.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Junior,Atacante,fluminense,3,Dúvida,3.31,-0.71,-3.00,1.13,1,2,0,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0
Erazo,Zagueiro,grêmio,2,Nulo,3.31,0.00,0.00,-0.15,2,5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Marquinhos,Meia,santos,1,Nulo,3.29,0.00,0.00,1.80,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Leandro,Atacante,palmeiras,2,Nulo,3.27,0.00,0.00,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Araújo,Meia,grêmio,1,Nulo,3.21,0.00,0.00,2.80,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cesinha,Atacante,ponte preta,4,Nulo,3.20,-0.09,-0.30,1.57,3,2,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0
Denner,Meia,avaí,2,Nulo,3.14,0.00,0.00,0.90,1,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
Giovanni,Meia,atlético-pr,4,Dúvida,3.11,-0.01,0.90,1.30,3,11,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0
Marrone,Lateral,avaí,1,Nulo,3.10,0.00,0.00,-2.50,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pedro Rocha,Atacante,grêmio,6,Provável,3.09,0.90,3.60,1.77,5,12,1,0,4,3,0,5,0,3,4,0,0,0,0,0,0,0
Maicon Talhetti,Meia,figueirense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evandro,Lateral,sport,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eberson,Zagueiro,coritiba,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naldinho,Meia,sport,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luccas Barreto,Meia,coritiba,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiago Costa,Lateral,chapecoense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moisés,Meia,grêmio,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breno,Zagueiro,são paulo,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tauã,Atacante,avaí,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Vinícius,Meia,cruzeiro,0,Contundido,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Núbio Flávio ,Atacante,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni,Goleiro,atlético-mg,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Cândido,Meia,atlético-mg,0,Contundido,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mário Sérgio,Lateral,goiás,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dudu,Atacante,figueirense,2,Nulo,3.00,0.00,0.00,-0.55,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Ewandro,Atacante,são paulo,0,Dúvida,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronaldo,Meia,sport,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonatan Lucca,Meia,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marciel,Meia,corinthians,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aislan,Zagueiro,vasco,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trípodi,Atacante,joinville,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquito,Atacante,vasco,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Andrade,Lateral,corinthians,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conrado,Atacante,avaí,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caramelo,Lateral,chapecoense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luiz Carlos ,Goleiro,sport,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego,Goleiro,avaí,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudnei,Meia,avaí,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Batata,Meia,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Tocantins,Atacante,corinthians,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Donato,Zagueiro,joinville,0,Contundido,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santos,Goleiro,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nivaldo,Goleiro,chapecoense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crysan,Atacante,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Pelissari,Meia,atlético-pr,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Scarpa,Meia,fluminense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo,Zagueiro,santos,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Érico Júnior,Atacante,sport,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revson,Meia,avaí,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadu,Meia,joinville,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Crispim,Meia,santos,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelo Hermes,Lateral,grêmio,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Sávio,Atacante,flamengo,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Júnior Lopes,Zagueiro,goiás,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryder,Meia,palmeiras,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabio,Goleiro,palmeiras,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klever,Goleiro,fluminense,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeca,Lateral,santos,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrigo,Meia,internacional,0,Nulo,3.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neilton,Atacante,cruzeiro,1,Nulo,2.99,0.00,0.00,1.50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Farias,Meia,internacional,3,Nulo,2.90,0.00,0.00,1.00,3,2,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0
Frauches ,Zagueiro,flamengo,1,Nulo,2.83,0.00,0.00,4.40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saimon,Zagueiro,figueirense,1,Nulo,2.82,-0.18,1.20,1.20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Judivan ,Atacante,cruzeiro,1,Nulo,2.77,0.00,0.00,-0.50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jadson,Meia,atlético-pr,5,Nulo,2.77,0.00,0.00,-1.12,4,9,0,0,0,0,0,0,0,3,6,0,1,1,0,0,0,0
Everton Silva,Lateral,avaí,1,Nulo,2.77,0.00,0.00,-0.50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ytalo,Atacante,atlético-pr,4,Provável,2.73,-1.29,-0.40,1.50,1,2,0,0,0,2,1,0,0,1,2,0,2,0,0,0,0,0
Jéci,Zagueiro,avaí,6,Suspenso,2.72,-0.86,-1.10,0.43,6,14,0,0,3,3,0,0,0,1,4,0,3,0,1,0,0,0
Emerson,Zagueiro,avaí,4,Provável,2.70,-1.12,2.00,2.25,4,7,0,0,0,3,0,0,0,5,5,0,2,0,1,0,0,0
Oswaldo,Zagueiro,sport,1,Nulo,2.69,0.00,0.00,-0.60,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Artur,Lateral,internacional,2,Nulo,2.69,0.00,0.00,1.95,1,5,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0
Geferson,Lateral,internacional,2,Nulo,2.67,0.00,0.00,3.10,0,4,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0
Marcelo,Zagueiro,flamengo,1,Nulo,2.63,0.00,0.00,2.70,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
João Paulo,Meia,coritiba,6,Nulo,2.63,0.00,0.00,-0.45,4,18,0,0,1,1,0,0,0,5,11,0,2,0,0,0,0,0
Vilson,Zagueiro,chapecoense,6,Provável,2.60,0.00,0.00,0.28,4,14,0,0,0,0,0,0,0,2,5,0,1,1,2,0,0,0
Yago,Meia,figueirense,6,Nulo,2.57,-0.62,-0.30,0.87,9,6,0,0,1,1,0,0,0,4,8,0,1,0,0,0,0,0
Antônio Carlos ,Zagueiro,avaí,5,Provável,2.53,0.00,0.00,-0.26,4,10,0,0,1,1,0,0,0,5,7,1,3,0,1,0,0,0
Juninho,Meia,ponte preta,6,Nulo,2.50,-0.20,-0.30,0.07,1,4,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0
Bruno,Goleiro,coritiba,7,Provável,2.49,0.02,-2.00,-0.01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,10
Niltinho,Atacante,joinville,2,Nulo,2.48,0.00,0.00,0.45,3,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Maranhão,Meia,chapecoense,4,Nulo,2.46,-0.16,-0.30,-0.55,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
Romário ,Lateral,avaí,6,Provável,2.40,-1.35,-2.50,1.18,4,24,0,0,0,0,0,0,0,9,8,0,2,0,1,0,0,0
Kempes,Atacante,joinville,6,Nulo,2.39,0.52,2.60,-0.53,4,9,0,0,3,4,0,4,0,1,12,0,1,0,0,0,0,0
Mateus Oliveira,Atacante,coritiba,1,Nulo,2.37,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo,Atacante,goiás,1,Nulo,2.37,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cicinho,Lateral,santos,1,Contundido,2.37,0.00,0.00,-2.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ícaro,Meia,coritiba,1,Nulo,2.31,0.00,0.00,-0.50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nirley,Zagueiro,figueirense,1,Contundido,2.29,0.00,0.00,-2.10,1,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0
Péricles,Meia,goiás,5,Nulo,2.22,0.59,2.20,0.52,6,9,0,0,0,3,0,0,0,6,8,0,3,0,0,0,0,0
Arthur,Meia,goiás,3,Nulo,2.19,0.00,0.00,0.47,0,6,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Abuda,Meia,chapecoense,4,Nulo,2.18,0.00,0.00,1.80,1,16,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0
Eurico,Meia,cruzeiro,2,Nulo,2.16,0.00,0.00,-0.05,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Dankler,Zagueiro,joinville,3,Provável,2.16,0.09,0.80,0.43,0,6,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0
Pará,Lateral,cruzeiro,5,Provável,2.14,-1.08,-3.80,1.50,10,19,0,0,0,1,0,0,0,5,8,0,1,0,1,0,0,0
Diego,Lateral,joinville,1,Provável,2.08,0.08,1.60,1.60,1,5,0,0,1,2,0,1,0,1,2,0,0,0,0,0,0,0
Luiz Paulo ,Lateral,atlético-pr,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Machado,Meia,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Oliveira,Zagueiro,fluminense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel,Lateral,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Daltro,Lateral,vasco,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Zuchi,Zagueiro,atlético-pr,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinga,Lateral,grêmio,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Zang,Zagueiro,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor ,Zagueiro,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Júlio César,Goleiro,fluminense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renato,Meia,avaí,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Atacante,fluminense,0,Suspenso,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juninho,Meia,avaí,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deivid Duarte,Zagueiro,goiás,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteus ,Meia,atlético-pr,0,Contundido,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Índio,Meia,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joãozinho,Lateral,joinville,0,Contundido,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danrlei,Zagueiro,joinville,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriks,Zagueiro,internacional,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelson,Meia,goiás,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balbino,Meia,grêmio,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur,Meia,grêmio,0,Contundido,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson Conceição,Lateral,atlético-mg,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Samuel,Atacante,grêmio,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus ,Atacante,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ferrareis,Atacante,internacional,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juninho,Meia,joinville,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
